1	Aruba	37	103000
2	Afghanistan	35	22720000
3	Angola	36	12878000
4	Anguilla	37	8000
5	Albania	34	3401200
6	Andorra	34	78000
7	Netherlands Antilles	37	217000
8	United Arab Emirates	35	2441000
9	Argentina	38	37032000
10	Armenia	35	3520000
11	Antigua and Barbuda	37	68000
12	Austria	34	8091800
13	Azerbaijan	35	7734000
14	Burundi	36	6695000
15	Belgium	34	10239000
16	Benin	36	6097000
17	Spain	34	39441700
18	Estonia	34	1439200
19	Ethiopia	36	62565000
20	Finland	34	5171300
22	Falkland Islands	38	2000
23	France	34	59225700
24	Faroe Islands	34	43000
26	Gabon	36	1226000
27	United Kingdom	34	59623400
28	Georgia	35	4968000
29	Ghana	36	20212000
30	Gibraltar	34	25000
31	Guinea	36	7430000
32	Guadeloupe	37	456000
33	Gambia	36	1305000
34	Europe	null	731000000.00
35	Asia	null	3879000000.00	
36	Africa	null	922011000.00
37	North America	null	528720588.00
21	Australia	null	23300000
25	Antarctica	null	1323
38	South America	null	382000000.00
39	Lithuania	34	3698500
40	Luxembourg	34	435700
41	Latvia	34	2424200
42	Monaco	34	34000
43	Moldova	34	4380000
44	Mexico	37	98881000
45	Macao	35	473000
46	Morocco	36	28351000
47	Madagascar	36	15942000
48	Maldives	35	286000
49	United States	37	278357000
50	South Korea	35	46844000
51	India	35	1013662000
52	Canada	37	31147000
53	Brazil	38	170115000
54	Russian Federation	34	146934000
55	Zimbabwe	36	11669000
56	Germany	34	82164700
57	Djibouti	36	638000
58	Dominica	37	71000
59	Denmark	34	5330000
60	Hong Kong	35	6782000
61	Japan	35	126714000
